family,workflow,instance,instance_scale_tag,scheduler,makespan,total_energy,total_carbon,green_ratio,brown_energy,avg_utilization,seed,success,abl
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-50k-001,unknown,ECDS,101.4892,161.52179063503212,40.63060791789024,0.5969024580751772,65.10903677227726,0.1333069704802238,4,1,full
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-50k-001,unknown,ECDS,108.73545833333336,182.77129983894244,34.07438863683252,0.7271363319420604,49.871647289770856,0.142796972291874,5,1,full
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-50k-001,unknown,ECDS,104.13923333333332,175.64324283511246,33.32977230828567,0.7204832959093723,49.095220333060105,0.143567662671949,6,1,full
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-50k-001,unknown,ECDS,101.42669166666666,177.23927739641044,35.913564173714754,0.6947448590259013,54.10320060778848,0.1490176328976619,7,1,full
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-50k-001,unknown,ECDS,105.26888076923076,178.26752245375022,36.29681142281488,0.692782679388705,54.76687060025481,0.1413072914613393,8,1,full
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-50k-001,unknown,ECDS,103.9351,159.61933240615397,37.56890889507208,0.6292686878369155,59.175884549528845,0.1259979962779534,9,1,full
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-50k-001,unknown,ECDS,107.90907916666666,171.12449344421478,36.99123739441309,0.6676686995544334,56.870025444404696,0.133143715581167,10,1,full
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-50k-001,unknown,HEFT,100.98346153846153,115.27731681900616,49.446444747525575,0.2421305403011756,87.36515781315084,0.0706555735199085,1,1,full
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-50k-001,unknown,HEFT,101.60026923076924,119.07979213374983,48.82218591348872,0.2800088824701369,85.73639261360266,0.0767580499610021,2,1,full
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-50k-001,unknown,HEFT,103.68655384615384,120.24528240658628,48.59958617953003,0.2916591618921108,85.17464411840164,0.074173761103979,3,1,full
