family,workflow,instance,instance_scale_tag,brown_energy_mean_ECDS,brown_energy_mean_HEFT,green_ratio_mean_ECDS,green_ratio_mean_HEFT,makespan_mean_ECDS,makespan_mean_HEFT,total_carbon_mean_ECDS,total_carbon_mean_HEFT,total_energy_mean_ECDS,total_energy_mean_HEFT,delta_makespan,delta_energy,delta_carbon,delta_green_ratio,delta_brown
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,16.235065058860574,38.034863119870145,0.7878985758725179,0.23660268454584943,104.56826666666666,100.0334487179487,11.978677618511492,21.508550930149838,77.22290178162392,49.82238740429488,4.534817948717958,27.40051437732904,-9.529873311638346,0.5512958913266685,-21.79979806100957
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-50k-001,small,52.07260910074199,86.09206484838505,0.7134680837525108,0.27126619488780773,106.5587361111111,102.09009487179488,35.144894083889675,48.956072280181445,182.1717906703741,118.20079711978076,4.468641239316227,63.970993550593334,-13.81117819629177,0.4422018888647031,-34.01945574764306
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,653.2875652854349,666.2334944450358,0.4752431912279442,0.4497374832457038,126.5372315170921,111.9218541666666,388.8907106207166,393.65443356178963,1244.9385595600243,1210.7537267852374,14.61537735042549,34.184832774786855,-4.763722941073013,0.02550570798224039,-12.94592915960095
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-01d-001,small,18.948028465517634,31.42922281489498,0.6633223993522323,0.2252122909794836,100.94436324786324,100.31908717948717,12.302296013285,17.742870176555694,56.565635610523564,40.56517538216347,0.625276068376067,16.000460228360097,-5.4405741632706945,0.43811010837274866,-12.481194349377347
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,medium,18.16725620038115,24.414157738626077,0.5933836789916839,0.2514549524969578,100.15484444444445,100.07023931623932,11.318749225265611,13.837858647772451,44.70242250150117,32.61559556918815,0.08460512820512633,12.086826932313016,-2.5191094225068404,0.34192872649472605,-6.246901538244927
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-100p-001,small,7.92084858877057,12.01828271694952,0.6353357910051538,0.21137984180689706,100.13945555555556,100.0468814102564,5.046685435964075,6.771136847380997,21.725222831575866,15.239909778125012,0.09257414529915309,6.485313053450854,-1.724451411416922,0.42395594919825674,-4.097434128178949
