family,workflow,instance,instance_scale_tag,scheduler,task_release_T,makespan_mean,makespan_std,total_energy_mean,total_energy_std,total_carbon_mean,total_carbon_std,green_ratio_mean,green_ratio_std,brown_energy_mean,brown_energy_std,avg_utilization_mean,avg_utilization_std,n_runs
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,ECDS,50,53.528462051282055,2.9037093839248445,53.518697672605796,3.9301409514244683,22.52116400613678,0.7178703057912598,0.2539085006078323,0.07984075938652616,39.69045824501299,1.723828467392188,0.06675419679536404,0.00723391081018458,5
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,HEFT,50,50.795,1.1289500479643975,49.92074341578525,0.45776326311914395,23.513794291209212,0.1762655007961205,0.15792193365236357,0.007290919756988727,42.03551424083991,0.32804416111360485,0.0589182969799147,0.002890044413765303,5
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,ECDS,100,103.08242,2.6870522681927875,72.2428822606314,7.180169213139074,13.631066579891435,2.9560010091747344,0.7133883871641443,0.11968835265205931,20.037844933719715,6.582274077223278,0.058270573279701955,0.007951776891341753,5
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,HEFT,100,99.71941153846153,0.93577012686098,49.657798715467955,0.24177326984590428,21.81791920810144,0.4701693635294476,0.22119661089933515,0.022395803875550045,38.67005854465606,0.9587291392117357,0.0291466160819155,0.0010085599337470712,5
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,ECDS,150,150.94939384615384,1.2475929825825982,65.31863917249038,1.800937852887425,16.034346550477895,1.23875025527486,0.6079669416323427,0.050778871902791366,25.536829183706743,2.6446398153787327,0.03463142323018558,0.001774392758413911,5
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,HEFT,150,150.11116692307695,0.14718129708974192,49.45602078907052,0.16231527521758662,22.76465698373357,0.42415314675108606,0.17941148057129877,0.015949750208014597,40.58371188856006,0.8406710215792746,0.0188686541031059,0.00030834935427396945,5
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-50k-001,small,ECDS,50,56.90396788461538,3.3164437392043418,141.3801586655771,3.8111919546474886,52.71659566427029,1.5074275114586042,0.3535685634929587,0.036993191874550656,91.2951754619829,3.2334088646149852,0.19323088081337114,0.009646269192423498,5
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-50k-001,small,HEFT,50,52.80297634615384,1.2726047287681566,119.64762938288769,2.9992221231133507,54.385951646881686,0.5194419232328564,0.1905527780282698,0.018449070650561374,96.80714035547457,0.8787530388426182,0.1504254086183363,0.010941776552538831,5
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-50k-001,small,ECDS,100,105.98017333333333,2.840171233152157,178.16169249701937,10.298948631795156,36.02793576127836,2.821539443840161,0.6928886082549539,0.05804168233744615,54.23970227285482,6.663008110421424,0.14280716959570677,0.008581974238781246,5
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-50k-001,small,HEFT,100,101.63476942307692,1.466625312894498,118.48595796453824,1.9359054259154371,49.47051056865013,1.2558472293638279,0.26468886003860825,0.02859094286866229,87.09242534084663,2.5788414652666445,0.07423134538154849,0.002356620437297556,5
