scheduler,scheduler_family,variant,scenario,run_tag,makespan,total_energy,total_carbon,green_ratio,green_energy,brown_energy,avg_utilization,flowtime_sum,n_tasks,unfinished_tasks,scheduler_wallclock_s,scheduler_calls,dispatch_count,event_count,recluster_count,decision_budget_ms,candidate_cap,frontier_cap,task_release_random,task_release_T,w1,w2,w3,w4,workflow,family,instance,instance_scale_tag,seed,trace_path,success,weight_tag,study_group
MOHEFT,mo_baseline,full,dynamic,pareto_weight_sweep,100.02646153846153,49.89682989541667,21.7965420964367,0.2263355951822162,11.29342869208493,38.603401203331686,0.030782344101509544,5061.315770512823,81,0,0.045621300116181374,81,81,81,0,100.0,64,12,True,100,0.5,0.3,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,1,,1,w_50_30_20_00,pareto
MOHEFT,mo_baseline,full,dynamic,pareto_weight_sweep,100.02646153846153,49.933713365416665,21.768342571186697,0.22811040461240253,11.390399559584928,38.54331380583168,0.030874444730266227,5061.305408012823,81,0,0.04600049997679889,81,81,81,0,100.0,64,12,True,100,0.4,0.3,0.2,0.1,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,1,,1,w_40_30_20_10,pareto
MOHEFT,mo_baseline,full,dynamic,pareto_weight_sweep,100.02646153846153,49.99852638625,21.665403855040864,0.23335830389597118,11.66757131479326,38.33095507145668,0.030944717801597084,5061.3850913461565,81,0,0.04657240002416074,81,81,81,0,100.0,64,12,True,100,0.5,0.3,0.2,0.2,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,1,,1,w_50_30_20_20,pareto
MOHEFT,mo_baseline,full,dynamic,pareto_weight_sweep,100.02646153846153,50.06995593711539,21.626489810846152,0.2361490376381547,11.82397190913461,38.24598402798072,0.03098393218448348,5061.544408653849,81,0,0.04536190000362694,81,81,81,0,100.0,64,12,True,100,0.5,0.3,0.2,0.3,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,1,,1,w_50_30_20_30,pareto
MOHEFT,mo_baseline,full,dynamic,pareto_weight_sweep,100.02646153846153,50.00412070711538,21.653748463096154,0.23392143859796272,11.697035851634608,38.307084855480724,0.030949628761696872,5061.403021153848,81,0,0.04642900009639561,81,81,81,0,100.0,64,12,True,100,0.35,0.25,0.2,0.2,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,1,,1,w_35_25_20_20,pareto
MOHEFT,mo_baseline,full,dynamic,pareto_weight_sweep,100.02646153846153,52.68793290322117,20.3425466181911,0.32781003173698453,17.271632957161042,35.41629994606006,0.03368015261730738,5063.900641346157,81,0,0.045352299930527806,81,81,81,0,100.0,64,12,True,100,0.25,0.25,0.2,0.3,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,1,,1,w_25_25_20_30,pareto
ECDS,ecds,full,dynamic,pareto_weight_sweep,100.02646153846153,51.728174134198746,22.35289865708013,0.23575535842073717,12.19519423345833,39.53297990074034,0.03431759171355169,5063.5783253205145,81,0,4.111322700046003,81,81,81,1,0.0,0,0,True,100,0.7,0.2,0.1,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,1,,1,w_70_20_10_00,pareto
ECDS,ecds,full,dynamic,pareto_weight_sweep,100.02646153846153,51.728174134198746,22.35289865708013,0.23575535842073717,12.19519423345833,39.53297990074034,0.03431759171355169,5063.5783253205145,81,0,0.013498600106686354,81,81,81,1,0.0,0,0,True,100,0.55,0.25,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,1,,1,w_55_25_20_00,pareto
ECDS,ecds,full,dynamic,pareto_weight_sweep,100.02646153846153,51.728174134198746,22.35289865708013,0.23575535842073717,12.19519423345833,39.53297990074034,0.03431759171355169,5063.5783253205145,81,0,0.013358299853280187,81,81,81,1,0.0,0,0,True,100,0.5,0.3,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,1,,1,w_50_30_20_00,pareto
ECDS,ecds,full,dynamic,pareto_weight_sweep,100.8029,66.75206916423075,15.824128052343758,0.6258835194033768,41.779019975966364,24.97304918826441,0.05355360305695315,5079.820842307695,81,0,0.0170499999076128,81,81,81,1,0.0,0,0,True,100,0.4,0.3,0.2,0.1,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,1,,1,w_40_30_20_10,pareto
ECDS,ecds,full,dynamic,pareto_weight_sweep,101.5815,73.0741689810096,15.049889651974768,0.6880927594021385,50.281806575161056,22.79236240584855,0.06018182775937012,5085.627395512823,81,0,0.01580849988386035,81,81,81,1,0.0,0,0,True,100,0.5,0.3,0.2,0.2,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,1,,1,w_50_30_20_20,pareto
ECDS,ecds,full,dynamic,pareto_weight_sweep,105.95375,84.4100987062019,14.6158179951815,0.7536950384087727,63.61947258645913,20.79062611974278,0.07006833646574745,5096.312536858976,81,0,0.016646899981424212,81,81,81,1,0.0,0,0,True,100,0.5,0.3,0.2,0.3,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,1,,1,w_50_30_20_30,pareto
ECDS,ecds,full,dynamic,pareto_weight_sweep,101.5815,73.0741689810096,15.049889651974768,0.6880927594021385,50.281806575161056,22.79236240584855,0.06018182775937012,5085.627395512823,81,0,0.01811359985731542,81,81,81,1,0.0,0,0,True,100,0.35,0.25,0.2,0.2,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,1,,1,w_35_25_20_20,pareto
ECDS,ecds,full,dynamic,pareto_weight_sweep,105.95375,84.4404474262019,14.6092445121815,0.7539751989128323,63.66600314445913,20.77444428174278,0.07010909717501919,5096.347086858976,81,0,0.013926199870184064,81,81,81,1,0.0,0,0,True,100,0.25,0.25,0.2,0.3,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,1,,1,w_25_25_20_30,pareto
HEFT,anchor,full,dynamic,pareto_anchor,98.57453846153845,49.88401626759614,21.33707320008654,0.2445326661098554,12.198271494182682,37.6857447734134,0.02981573295959552,5155.041230769235,81,0,0.002887899987399578,81,81,81,0,0.0,0,0,True,100,0.5,0.3,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,2,,1,anchor,pareto
GREENHEFT,green_anchor,full,dynamic,pareto_weight_sweep,98.57453846153845,49.847243693429476,21.338029606065707,0.24386320987780769,12.155908850641017,37.69133484278839,0.02977898517573702,5155.117939102568,81,0,0.007170099997892976,81,81,81,0,0.0,0,0,True,100,0.7,0.2,0.1,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,2,,1,w_70_20_10_00,pareto
GREENHEFT,green_anchor,full,dynamic,pareto_weight_sweep,98.57453846153845,50.168898920929465,21.185868202753202,0.2554182508113657,12.814052407516016,37.35484651341341,0.030162419636500404,5155.60308814103,81,0,0.007372200023382902,81,81,81,0,0.0,0,0,True,100,0.55,0.25,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,2,,1,w_55_25_20_00,pareto
GREENHEFT,green_anchor,full,dynamic,pareto_weight_sweep,98.57453846153845,50.01008210842947,21.247574807440703,0.25026834943511095,12.515940704391017,37.49414140403841,0.0299968406213233,5155.31570064103,81,0,0.008448899956420064,81,81,81,0,0.0,0,0,True,100,0.5,0.3,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,2,,1,w_50_30_20_00,pareto
GREENHEFT,green_anchor,full,dynamic,pareto_weight_sweep,98.57453846153845,50.05409737092947,21.2223185440032,0.2520247229019559,12.614870020016017,37.43922735091341,0.0300603395237548,5155.40000064103,81,0,0.007248299894854426,81,81,81,0,0.0,0,0,True,100,0.4,0.3,0.2,0.1,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,2,,1,w_40_30_20_10,pareto
GREENHEFT,green_anchor,full,dynamic,pareto_weight_sweep,98.57453846153845,50.01008210842947,21.247574807440703,0.25026834943511095,12.515940704391017,37.49414140403841,0.0299968406213233,5155.31570064103,81,0,0.007449599914252758,81,81,81,0,0.0,0,0,True,100,0.5,0.3,0.2,0.2,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,2,,1,w_50_30_20_20,pareto
GREENHEFT,green_anchor,full,dynamic,pareto_weight_sweep,98.57453846153845,50.01008210842947,21.247574807440703,0.25026834943511095,12.515940704391017,37.49414140403841,0.0299968406213233,5155.31570064103,81,0,0.007367500104010105,81,81,81,0,0.0,0,0,True,100,0.5,0.3,0.2,0.3,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,2,,1,w_50_30_20_30,pareto
