family,workflow,instance,instance_scale_tag,instance_label,scheduler,seed,weight_tag,makespan,brown_energy,total_carbon,green_ratio,total_energy
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,ECDS,4,w_35_25_20_20,99.3202,28.76261032740065,17.730810349708342,0.5706438902147167,66.99010372016025
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,ECDS,4,w_40_30_20_10,99.3202,32.59208921303767,19.15520794823598,0.4300414960996319,57.18326683434295
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,ECDS,4,w_50_30_20_00,99.12315384615384,40.25103963323395,22.61573166870833,0.1918149534259486,49.804237041826944
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,ECDS,4,w_50_30_20_20,99.3202,28.76261032740065,17.730810349708342,0.5706438902147167,66.99010372016025
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,ECDS,4,w_50_30_20_30,99.3202,28.683722817941515,17.714391350014832,0.5747447269650987,67.45059882088141
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,ECDS,4,w_55_25_20_00,99.12315384615384,40.431543699483946,22.71660158808333,0.1916374177815908,50.01659476682695
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,ECDS,4,w_70_20_10_00,99.12315384615384,40.61189476560895,22.815549213270824,0.1908697572542356,50.19203660932696
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,ECDS,5,w_25_25_20_30,102.2455,23.851477332944707,15.608835447588548,0.6762034946348016,73.66193562232364
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,ECDS,5,w_35_25_20_20,102.2455,23.903641958425485,15.62893038669432,0.6749669467300826,73.54218814963134
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,ECDS,5,w_40_30_20_10,99.3063076923077,29.22261421747596,17.598723682489577,0.5109049324718354,59.74833147503208
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,ECDS,5,w_50_30_20_00,99.3063076923077,39.2373208310817,22.105787838199507,0.2111919865139359,49.74254845317313
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,ECDS,5,w_50_30_20_20,102.2455,23.903641958425485,15.62893038669432,0.6749669467300826,73.54218814963134
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,ECDS,5,w_50_30_20_30,102.2455,23.898313332944717,15.627861447588549,0.6751803317349445,73.57409562232364
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,ECDS,5,w_55_25_20_00,99.3063076923077,39.2373208310817,22.105787838199507,0.2111919865139359,49.74254845317313
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,ECDS,5,w_70_20_10_00,99.3063076923077,39.2373208310817,22.105787838199507,0.2111919865139359,49.74254845317313
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,1,w_25_25_20_30,100.02646153846152,38.03064537588698,21.534503314888227,0.2451782740562952,50.38361253889421
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,1,w_35_25_20_20,100.02646153846152,38.23566130026198,21.628488872034065,0.2385331271557959,50.21316443806088
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,1,w_40_30_20_10,100.02646153846152,38.29379554776199,21.65441161228406,0.2364190585653933,50.15027676806088
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,1,w_50_30_20_00,100.02646153846152,38.31721354776199,21.66392461228406,0.2352823869208863,50.10635676806088
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,1,w_50_30_20_20,100.02646153846152,38.31721354776199,21.66392461228406,0.2352823869208863,50.10635676806088
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,1,w_50_30_20_30,100.02646153846152,38.31721354776199,21.66392461228406,0.2352823869208863,50.10635676806088
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,1,w_55_25_20_00,100.02646153846152,38.28339023526198,21.64968526853406,0.2367715195875583,50.15980301806088
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,1,w_70_20_10_00,100.02646153846152,38.37216350588698,21.689125230929893,0.233489872561937,50.06086955972755
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,2,w_25_25_20_30,98.57453846153844,37.30618153903841,21.163187833940704,0.2568777106705876,50.20194128842948
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,2,w_35_25_20_20,98.57453846153844,37.33346504653841,21.176033538190705,0.2560983153368952,50.18602029842947
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,2,w_40_30_20_10,98.57453846153844,37.43922735091341,21.2223185440032,0.2520247229019559,50.05409737092947
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,2,w_50_30_20_00,98.57453846153844,37.49414140403841,21.247574807440703,0.2502683494351109,50.01008210842947
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,2,w_50_30_20_20,98.57453846153844,37.49414140403841,21.247574807440703,0.2502683494351109,50.01008210842947
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,2,w_50_30_20_30,98.57453846153844,37.49414140403841,21.247574807440703,0.2502683494351109,50.01008210842947
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,2,w_55_25_20_00,98.57453846153844,37.35484651341341,21.1858682027532,0.2554182508113657,50.168898920929465
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,2,w_70_20_10_00,98.57453846153844,37.69133484278839,21.338029606065707,0.2438632098778076,49.84724369342948
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,3,w_25_25_20_30,101.14673076923076,37.58901586000959,21.297470799767638,0.2491095989855506,50.05925739525641
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,3,w_35_25_20_20,101.14673076923076,37.58901586000959,21.297470799767638,0.2491095989855506,50.05925739525641
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,3,w_40_30_20_10,101.14673076923076,37.652008481884586,21.32592171883013,0.2469349725556382,49.9983495577564
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,3,w_50_30_20_00,101.14673076923076,37.816438481884575,21.40154871883013,0.2416477882834774,49.8665895577564
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,3,w_50_30_20_20,101.14673076923076,37.816438481884575,21.40154871883013,0.2416477882834774,49.8665895577564
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,3,w_50_30_20_30,101.14673076923076,37.816438481884575,21.40154871883013,0.2416477882834774,49.8665895577564
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,3,w_55_25_20_00,101.14673076923076,37.67841332569469,21.348129363655858,0.2491117140924079,50.178454016169866
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,3,w_70_20_10_00,101.14673076923076,37.972976242882176,21.483017000062105,0.239484538551436,49.93057757241986
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,4,w_25_25_20_30,99.12315384615384,39.95015324790143,22.47885489123678,0.2022026516907791,50.075565345721145
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,4,w_35_25_20_20,99.12315384615384,40.05348159876681,22.522060624073315,0.1974278967678156,49.90639649379807
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,4,w_40_30_20_10,99.12315384615384,40.096912236771615,22.541127999311296,0.1957041650045726,49.853437618509616
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,4,w_50_30_20_00,99.12315384615384,40.096912236771615,22.541127999311296,0.1957041650045726,49.853437618509616
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,4,w_50_30_20_20,99.12315384615384,40.096912236771615,22.541127999311296,0.1957041650045726,49.853437618509616
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,4,w_50_30_20_30,99.12315384615384,40.096912236771615,22.541127999311296,0.1957041650045726,49.853437618509616
